曜日,時限,科目名,担当教員,教室,学年,学期,単位,区分,URL,成績評価
日,"1","基幹理工学特論Ｂ","荒川　雅生／植田　研二／立野　繁之／田中　英一郎／橋本　健二／馬渡　和真／三宅　丈雄","",4,"spring",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2605024022012026260202401026&pLng=jp","割合\n評価基準\n\n\nレポート:\n\n100％\n\n各担当教員が演習課題やレポートを与え、その内容によって各教員が評価を行う。"
日,"2","基幹理工学特論Ｃ","池永　剛／池橋　民雄／硴塚　孝明／木村　晋二／高畑　清人／丹沢　徹／牧野　昭二／山崎　慎太郎／吉増　敏彦","",4,"spring",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2605024023012026260202401126&pLng=jp","割合\n評価基準\n\n\nレポート:\n\n100％\n\n各担当教員がレポート課題を与え、記述内容を各教員が評価する。全てのレポートの提出を必須とする。"
金,"3","量子力学特論","内野　瞬","",4,"fall",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2605024017012026260502401726&pLng=jp","割合\n評価基準\n\n\nレポート:\n\n70％\n\n学期中に２回程度レポート課題が出される。提出されたレポートの内容で評価する。\n平常点評価:\n\n30％\n\n講義内の演習（場合によってはオンラインの小テスト）の解答提出と内容によって評価する。"
金,"5","材料集積工学","松木　武雄","",4,"fall",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2605024018012026260502401826&pLng=jp","割合\n評価基準\n\n\n試験:\n\n0％\n\n教場試験は行いません\nレポート:\n\n95％\n\n講義の中で課す演習レポート課題を評価する。\n平常点評価:\n\n5％\n\n出席と講義内容に関する簡単な演習などを考慮する。"
木,"3","ベクトル解析（基幹）","平田　潤","",2,"spring",2,"基幹共通","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2600022003022026260002200326&pLng=jp","試験・レポート課題を重視する. また授業への参加なども併せて総合的に判断する."
金,"2","続線形代数（基幹）","土屋　卓也","",2,"spring",2,"基幹共通","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2600022005012026260002200526&pLng=jp","主に、レポート（５０％）と期末試験（５０％）を元に評価する。\nMainly by reports (50%), and final exam (50%)."
金,"1","フーリエ解析（基幹）","小林　光木","",2,"fall",2,"基幹共通","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2600022001012026260002200126&pLng=jp","割合\n評価基準\n\n\n試験:\n\n60％\n\n最終回に実施する期末試験の点数で評価する。\nレポート:\n\n40％\n\n毎回の授業でレポートを課す。\nレポート課題の出題および提出は Moodle を通して行う。\n提出は１週間後とする。遅れての提出は認めない（ただし、インフルエンザなどは考慮するので、その場合遠慮せず申し出ること）。\nわからない箇所は講義前後などに質問するなどして、解消すること。"
火,"1,2","理工学基礎実験２Ａ　電子物理","川西　哲也／谷井　孝至／山本　知之／渡邉　孝信","",2,"spring",2,"必修","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2600250003022026260025000326&pLng=jp","レポート（作品を含む）・(指示されたすべての実験を行い、指示されたレポートをすべて提出し、その評価が妥当である者)"
水,"4","Academic Reading 1","","",2,"spring",1,"必修","",""
火,"5","Concept Building And Discussion 1","","",2,"spring",1,"必修","",""
水,"4","Academic Reading 2","","",2,"fall",1,"必修","",""
火,"5","Concept Building And Discussion 2","","",2,"fall",1,"必修","",""
