曜日,時限,科目名,担当教員,教室,学年,学期,単位,区分,URL,成績評価
月,"2","微分方程式２","久保　隆徹","",4,"fall",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2602024013012026260102403526&pLng=jp","割合\n評価基準\n\n\nレポート:\n\n90％\n\n講義中に随時，レポート問題を出題する．また，学期末に期末レポートを出題する．その解答の正当数により評価する．\n平常点評価:\n\n10％\n\n毎回の講義における積極性を評価する．"
金,"2","続線形代数（基幹）","土屋　卓也","",2,"spring",2,"基幹共通","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2600022005012026260002200526&pLng=jp","主に、レポート（５０％）と期末試験（５０％）を元に評価する。\nMainly by reports (50%), and final exam (50%)."
金,"2","代数学B１","成田　宏秋","",3,"spring",2,"数学科非共通(選択算入)","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2601033003012026260103300326&pLng=jp","試験７０％、レポート２０％、小テスト１０％"
火,"4","代数学Ｃ１","久保田　絢子","",3,"spring",2,"数学科非共通(選択算入)","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2601023004012026260102300426&pLng=jp","教場試験の成績に基づいて評価する."
月,"4","幾何学Ｃ１","村上　順","",3,"spring",2,"数学科非共通(選択算入)","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2601033005012026260103300526&pLng=jp","期末試験に平常点を加味して評価する。"
火,"3","数学基礎論Ｂ","薄葉　季路","",3,"fall",2,"数学科非共通(選択算入)","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2601033002012026260103300226&pLng=jp","レポート、　試験で評価をする。\n割合\nレポート　１０％\n試験　９０％\n\n試験が行えない、あるいは試験形態が変わる場合は割合は変更される可能性がある"
金,"2","代数学B２","成田　宏秋","",3,"fall",2,"数学科非共通(選択算入)","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2601033004012026260103300426&pLng=jp","試験７０％、レポート２０％、小テスト１０％"
火,"4","代数学Ｃ２","永井　保成","",3,"fall",2,"数学科非共通(選択算入)","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2601023005012026260102300526&pLng=jp","定期試験の成績に基づくが，レポートの平常点も若干加味する．"
金,"1","幾何学Ｂ２","本間　泰史","",3,"fall",2,"数学科非共通(選択算入)","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2601023007012026260102300726&pLng=jp","割合\n評価基準\n\n\n試験:\n\n100％\n\n小テストを実施して判断する．詳しいことは講義やMoodleで述べる．"
月,"4","幾何学Ｃ２","村上　順","",3,"fall",2,"数学科非共通(選択算入)","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2601023008012026260102300826&pLng=jp","期末試験に平常点を加味して評価する。\ngrade by final examination including the students' class attendance."
